ID	Discrete1	Discrete2	Discrete3	Discrete4	Discrete5	Discrete6	Discrete7	Discrete8	Discrete9	Discrete10	Numeric1	Numeric2	Numeric3	Numeric4	Numeric5	Numeric6	Numeric7	Numeric8	Numeric9	Numeric10	Numeric11	Numeric12	Numeric13	Numeric14	Numeric15	Numeric16	Numeric17	Numeric18	Numeric19	Numeric20	Numeric21	Numeric22	Numeric23	Numeric24	Numeric25	Numeric26	Numeric27	Numeric28	Numeric29	Numeric30	Numeric31	Numeric32	Numeric33	Numeric34	Numeric35	Numeric36	Numeric37	Numeric38	Numeric39	Numeric40	Numeric41	Numeric42	Numeric43	Numeric44	Numeric45	Numeric46	Numeric47	Numeric48	Numeric49	Numeric50	Numeric51	Numeric52	Numeric53	Numeric54	Numeric55	Numeric56	Numeric57	Numeric58	Numeric59	Numeric60	Numeric61	Numeric62	Numeric63	Numeric64	Numeric65	Numeric66	Numeric67	Numeric68	Numeric69	Numeric70	Numeric71	Numeric72	Numeric73	Numeric74	Numeric75	Numeric76	Numeric77	Numeric78	Numeric79	Numeric80	Numeric81	Numeric82	Numeric83	Numeric84	Numeric85	Numeric86	Numeric87	Numeric88	Numeric89	Numeric90
Row11	KG	WZ	NZ	EA	YQ	EZ	VW	ZS	ML	OB	0.56159865	0.41163639	0.61413350	0.80412502	0.22830209	0.01569204	0.52909490	0.94135742	0.68025796	0.63090800	0.62781515	0.49698971	0.73091927	0.24919444	0.89175426	0.27447266	0.94494501	0.92649671	0.07792452	0.44817970	0.74403628	0.44965407	0.50889902	0.80682394	0.70499216	0.95800422	0.16448599	0.92355929	0.92798625	0.63474894	0.94039083	0.25268559	0.88178728	0.77347929	0.60968900	0.09062924	0.03013435	0.01096950	0.25055806	0.76235241	0.38662503	0.77544673	0.62564249	0.38926190	0.88014663	0.03841724	0.46531299	0.82985234	0.12681348	0.71048756	0.32811584	0.02430128	0.47372493	0.52169274	0.04158625	0.56591935	0.34743384	0.00449321	0.19077338	0.11081067	0.54062195	0.04312016	0.92813257	0.84506197	0.94529764	0.31480103	0.90526739	0.98431242	0.76473143	0.27508261	0.67088930	0.59566315	0.40420330	0.30609785	0.05984819	0.12538247	0.13395616	0.48089286	0.64189338	0.76406845	0.04671376	0.82375987	0.04347122	0.55494683	0.74414785	0.63122137	0.94967868	0.34469835	0.58588336	0.08279906
Row12	RF	IG	ZI	KW	WI	ZI	QO	EY	OR	EB	0.63254410	0.17696601	0.51222241	0.89596967	0.31608020	0.94674368	0.19288702	0.79101871	0.61089267	0.81226782	0.52226280	0.70953076	0.91266872	0.13487625	0.77152087	0.05716455	0.08241654	0.51767068	0.00246049	0.77486505	0.10398133	0.60754086	0.57027419	0.33580740	0.37806545	0.36205489	0.84131261	0.63656837	0.13610848	0.92551824	0.18259927	0.12509990	0.33788945	0.60747795	0.04413951	0.64539295	0.69884195	0.79676643	0.91167189	0.60044877	0.79444879	0.16816138	0.91839956	0.92685866	0.40822611	0.44070667	0.60414183	0.62013529	0.25582820	0.30974286	0.84909201	0.45363791	0.18066628	0.45372905	0.26414940	0.94928514	0.06409274	0.09630522	0.02618667	0.02133712	0.40376331	0.69057195	0.89699922	0.32280327	0.79075574	0.74601152	0.69484751	0.47653258	0.85797663	0.53561368	0.40193316	0.78371390	0.92546970	0.02779662	0.51586503	0.83659988	0.08009244	0.35854963	0.09848591	0.96814636	0.15427185	0.51659716	0.80474301	0.95983058	0.00072651	0.33769105	0.94441401	0.69597682	0.16055826	0.77932555
Row13	FU	VH	TK	AP	UV	MB	HH	UJ	KF	HL	0.22604015	0.87834375	0.46289879	0.87651183	0.13799788	0.56491849	0.01346768	0.93030141	0.00563711	0.38990765	0.80158596	0.99988156	0.01950974	0.82408548	0.51008796	0.03818202	0.77711927	0.11190241	0.61147419	0.77832522	0.67359093	0.37987432	0.02644164	0.43626397	0.91369448	0.33292337	0.24795872	0.13783083	0.51025246	0.53334827	0.07304824	0.40775849	0.65868145	0.96605069	0.43154112	0.43603534	0.47113397	0.22503349	0.39483764	0.64526473	0.39705921	0.58137575	0.83558229	0.99796757	0.88503968	0.37179663	0.02172713	0.61160460	0.47455071	0.23701711	0.04030410	0.32157024	0.79807131	0.96411901	0.10666014	0.87763941	0.04871767	0.71347582	0.02679571	0.42104968	0.87023084	0.39310815	0.92456432	0.71319514	0.60418428	0.16137905	0.34049578	0.41109616	0.59020486	0.99603816	0.28370975	0.50356289	0.93344791	0.34542079	0.62860479	0.76613154	0.63026973	0.75343068	0.19569300	0.95733769	0.17689781	0.58368118	0.29604261	0.63442303	0.29111042	0.43121336	0.68222255	0.26906875	0.72787588	0.34687767
Row14	ED	TL	FA	NS	MO	CU	WW	VC	YN	RX	0.55391678	0.16923300	0.20746390	0.22824949	0.52530353	0.81898258	0.35697412	0.88187199	0.73587827	0.71644714	0.33517213	0.11847749	0.96279048	0.85461064	0.40886799	0.86321819	0.89921712	0.34247362	0.50156149	0.33178984	0.69515751	0.91216731	0.98454410	0.74377907	0.30524235	0.88049329	0.99261963	0.34652616	0.94871235	0.51154641	0.96463544	0.99585599	0.81294210	0.68343705	0.15401447	0.00491728	0.59547085	0.70445991	0.93553805	0.51711990	0.69684660	0.64735597	0.20492012	0.64430009	0.98172121	0.11118496	0.68854324	0.61430512	0.37585472	0.79334775	0.01048586	0.89241162	0.81736395	0.48070483	0.10813915	0.45262856	0.58425290	0.25388348	0.48653146	0.77572876	0.92273180	0.56164503	0.82724179	0.07793321	0.85636805	0.92081457	0.16800138	0.82748736	0.84956617	0.87865887	0.51713952	0.60825424	0.20808325	0.70813155	0.40501730	0.02116909	0.13426711	0.38821803	0.88517981	0.56494229	0.91625703	0.92948384	0.08679499	0.58821541	0.33452804	0.50679512	0.45552480	0.47994327	0.10180581	0.83316008
Row15	PR	UM	PI	FH	RL	FJ	TE	OC	CP	MS	0.95304144	0.55614042	0.26552657	0.22964883	0.11087319	0.14107121	0.81186327	0.13863346	0.86406156	0.82299807	0.13680880	0.55872477	0.00705527	0.86203613	0.55827712	0.75534039	0.49034533	0.69042200	0.93123912	0.55954581	0.87470548	0.34304544	0.09753255	0.00514464	0.22665028	0.83858684	0.31149546	0.22461615	0.49563042	0.94690412	0.50897845	0.34087166	0.07750179	0.57366693	0.22625698	0.36749913	0.38116237	0.75818434	0.23162884	0.93589223	0.74238807	0.48111954	0.88047449	0.35916798	0.38433987	0.12936913	0.77855609	0.40119265	0.50025303	0.47096867	0.65618182	0.37393843	0.91586133	0.43192226	0.35921398	0.40087806	0.76629572	0.99305659	0.86651465	0.47972750	0.29135934	0.44598705	0.34401555	0.24353205	0.18694092	0.95587573	0.49930519	0.10997487	0.38390661	0.38871692	0.51353453	0.98004132	0.97663350	0.56589411	0.61809153	0.67562907	0.50222218	0.48667806	0.31452394	0.68392174	0.09189528	0.31714525	0.89097856	0.22737815	0.96758238	0.98416972	0.57538266	0.04043598	0.09347820	0.20030164
Row16	KF	DF	ZW	LA	HB	AM	RA	ED	TT	GC	0.74106121	0.19770552	0.00149519	0.89653805	0.84610874	0.06677872	0.17713529	0.23430093	0.92832136	0.38192910	0.80738176	0.43581353	0.38124467	0.76534805	0.61576100	0.26931769	0.58281060	0.70385285	0.82707809	0.67717908	0.64074707	0.59590234	0.09205095	0.94518906	0.71484191	0.27287113	0.69235069	0.62081744	0.65885145	0.37890897	0.57317585	0.66002723	0.20165607	0.50801216	0.12034166	0.10553050	0.91106058	0.12454722	0.89326697	0.46979920	0.45490262	0.33981532	0.41621772	0.37723238	0.56498295	0.33559332	0.82197586	0.23356175	0.24847012	0.48055155	0.93508128	0.02391567	0.72341362	0.00600659	0.40486021	0.76420725	0.44607912	0.42948893	0.25321683	0.47509564	0.22825950	0.28352129	0.65329356	0.59944706	0.92954552	0.96886908	0.52238019	0.08755651	0.29990309	0.51780490	0.67316289	0.94619725	0.15510743	0.03668470	0.87003568	0.80516437	0.76574828	0.46860077	0.67778070	0.41146922	0.19205166	0.39089377	0.78704660	0.80185562	0.96113447	0.88766713	0.68208454	0.52091202	0.72392702	0.18320359
Row17	RW	TS	NE	UW	TP	VS	GT	OB	HP	TK	0.55581911	0.19639157	0.04354201	0.13416945	0.44321928	0.67420408	0.22399810	0.68452035	0.86194938	0.75724108	0.42552748	0.64572791	0.98836743	0.88541160	0.33814951	0.68544705	0.16321128	0.55736847	0.35653396	0.43814632	0.43889885	0.66323294	0.84599601	0.46857184	0.14658479	0.75415427	0.75164301	0.95384524	0.39405601	0.46387901	0.54059574	0.89212340	0.70421652	0.02127812	0.20732269	0.85389485	0.58547382	0.87390847	0.41139914	0.21046789	0.00414073	0.99605096	0.13638153	0.64296877	0.48970891	0.38014939	0.53720215	0.07828356	0.97003420	0.49273694	0.01528952	0.41934343	0.75720191	0.31208367	0.74502241	0.76736272	0.23912072	0.96797249	0.02788875	0.86360548	0.51264912	0.15337949	0.25839295	0.59351729	0.27845716	0.83842108	0.21952851	0.38406130	0.50681317	0.33977296	0.82414280	0.26388220	0.08897717	0.15478519	0.62694546	0.56356265	0.06329832	0.99304916	0.47944063	0.31943720	0.72916240	0.02429186	0.43424914	0.66441384	0.96213622	0.76163778	0.88515921	0.11890591	0.42977061	0.03179043
Row18	II	MD	LJ	LT	ZU	GX	RR	BK	QR	AF	0.90803668	0.81950197	0.63715574	0.25785797	0.13766814	0.99576958	0.09932269	0.56124033	0.95530663	0.75783389	0.25152333	0.10419063	0.07508211	0.99899276	0.12826165	0.03465909	0.84063664	0.22339163	0.09681588	0.83633828	0.21696528	0.17719102	0.66336226	0.23015379	0.20140522	0.69838214	0.43898433	0.15796159	0.72075897	0.89458563	0.97383983	0.54727752	0.20079275	0.46572995	0.31373520	0.12846436	0.56109793	0.77618559	0.00045656	0.66028704	0.32808143	0.87222776	0.78203872	0.32326816	0.08456914	0.01412014	0.80334859	0.16648258	0.27530550	0.20140864	0.55467265	0.86506790	0.08890847	0.50272912	0.83148402	0.12270816	0.59357059	0.46295855	0.32413060	0.29656692	0.62832417	0.67363123	0.28673231	0.02290529	0.00822093	0.84566086	0.07617374	0.97583970	0.31311357	0.97770761	0.65349181	0.28743439	0.78327790	0.24881272	0.88832044	0.51660509	0.25957185	0.05608775	0.38861408	0.28087605	0.22543987	0.95080351	0.91052697	0.53279485	0.88938434	0.70826639	0.42365437	0.16953575	0.05128423	0.70620736
Row19	PM	AH	CJ	DF	EO	AY	LQ	ND	QH	PJ	0.26855112	0.43150445	0.69738414	0.92688715	0.16423227	0.88691741	0.52423401	0.20246318	0.15115038	0.79892909	0.78886961	0.18628028	0.98292525	0.54416943	0.18124955	0.86418996	0.72177019	0.92524720	0.70523011	0.15684409	0.75825874	0.12882023	0.83326900	0.68120844	0.74498706	0.52401523	0.77394959	0.79860280	0.85549313	0.70889831	0.02103478	0.46087808	0.90482824	0.19978502	0.41204102	0.38101622	0.38790345	0.38480778	0.52613171	0.10303587	0.85580482	0.53280894	0.89912264	0.89380733	0.01054740	0.74687702	0.24302991	0.39586726	0.67409897	0.98468571	0.97298100	0.66183733	0.25825420	0.07663517	0.76205177	0.58603151	0.74076966	0.85800367	0.76160616	0.05366023	0.80910768	0.69312244	0.24898809	0.71013967	0.89699282	0.66150309	0.59982217	0.88013576	0.28915463	0.59836566	0.35120060	0.35797946	0.82969329	0.29735338	0.64165731	0.25350814	0.02250201	0.80691343	0.93523981	0.85542783	0.60856452	0.33937718	0.30141970	0.13932219	0.81872114	0.93756284	0.70098212	0.33187758	0.85316433	0.60309101
Row20	MS	MW	QJ	VY	SH	GN	GI	QF	QE	ZT	0.51738337	0.90005247	0.77760284	0.50631581	0.82632612	0.47585596	0.34171516	0.43342344	0.45620801	0.65053195	0.05215709	0.72950868	0.96823278	0.45881757	0.06877229	0.20125638	0.10321404	0.25635366	0.79390711	0.00104944	0.87357933	0.93954715	0.18500308	0.17358643	0.96576296	0.36038015	0.81177630	0.00901068	0.99079158	0.01649021	0.60757060	0.92845035	0.83126086	0.31040256	0.82208041	0.39304764	0.49980642	0.36327800	0.35471807	0.58207523	0.78206799	0.69949113	0.76807796	0.01427327	0.53169339	0.35278860	0.20861483	0.92085182	0.19680805	0.18447497	0.17881409	0.65809491	0.61173993	0.50563347	0.58680176	0.94057631	0.86121009	0.90593452	0.05415783	0.89741277	0.03135065	0.64764295	0.93083218	0.50246342	0.41932067	0.33174295	0.91612362	0.92596926	0.61912551	0.71442898	0.33912704	0.13817477	0.97900098	0.65702212	0.27438755	0.97708355	0.60896993	0.33058509	0.89581300	0.07790043	0.80415366	0.15957902	0.10767445	0.25894407	0.71482554	0.60800830	0.42127838	0.15904619	0.92375186	0.76628517
Row21	VV	YZ	DS	YD	FX	PJ	VX	DV	YN	II	0.78512640	0.63528408	0.50907846	0.53601716	0.07473081	0.04089791	0.01482481	0.77554247	0.13849532	0.12286654	0.38506279	0.97770297	0.88592429	0.31328903	0.81979845	0.08507778	0.39204034	0.57920579	0.98624692	0.04870696	0.41242102	0.91961044	0.02761068	0.59908238	0.39939375	0.56026847	0.70334941	0.40669541	0.89205224	0.95571452	0.98505913	0.05477850	0.83682946	0.87837251	0.14540526	0.94142950	0.12711385	0.20731408	0.95554672	0.83078316	0.57655119	0.28780833	0.25271548	0.40313853	0.00899350	0.63635918	0.05155011	0.77385214	0.07016364	0.01025438	0.28465700	0.77269204	0.83263703	0.50730276	0.93829729	0.11451703	0.33221941	0.74034529	0.32331992	0.14536075	0.57836076	0.06257399	0.37301682	0.25386874	0.33181236	0.48518222	0.53570245	0.08435746	0.31552811	0.38369674	0.40330440	0.48003535	0.42587202	0.07402758	0.21932458	0.64428603	0.82876401	0.51144061	0.14818977	0.07046700	0.15589420	0.38404715	0.56520642	0.66425724	0.52435932	0.56529066	0.35223341	0.66559691	0.72686024	0.40212540
Row22	KX	VT	OQ	LH	YQ	BX	MZ	LK	ZQ	AH	0.57436402	0.47529365	0.36799039	0.76658510	0.24389450	0.02428976	0.50780843	0.97454151	0.56990499	0.03974859	0.36575675	0.34091087	0.48604516	0.75597294	0.88224780	0.41908897	0.81116519	0.76959826	0.65435077	0.47741521	0.72526840	0.34426017	0.80279853	0.82593948	0.72564170	0.92201767	0.76120528	0.48023697	0.65849947	0.92822731	0.83309735	0.69534333	0.68495009	0.58026617	0.21302879	0.02729511	0.45423839	0.62307720	0.82588962	0.67087920	0.61157084	0.31524801	0.32776121	0.42993916	0.76944911	0.86506872	0.14408691	0.42953316	0.23722820	0.38098232	0.24061812	0.25491746	0.24179774	0.58715426	0.92777054	0.37206490	0.45553505	0.59932556	0.62398217	0.14646363	0.24357495	0.84407811	0.25670077	0.17297551	0.70465348	0.59644632	0.89367737	0.44689203	0.20481457	0.18152164	0.35793768	0.24907368	0.80215065	0.54081814	0.90474104	0.29374293	0.27343198	0.20203446	0.84404987	0.31532468	0.02073702	0.19209029	0.19700090	0.83126954	0.84690175	0.45833384	0.25085449	0.28776584	0.48644100	0.81392173
